Start Date,Respondent ID,In what country do you work?,What is your age?,How long (in years) have you been in information technology or security?,,What is the highest level of formal education you have completed?,What is your gender identity?,,Do you currently have (or have had) industry certifications?,"If you do have certifications, which one do you value most?","If you do have certifications, which one do you value least?",What was your first job title in information technology or security?,What is your current job title in information technology or security?,Current Job Cleaned,Which of the following best describes the principal industry of your current organization?,,"Do you call it ""Cybersecurity"" or ""Information Security""","Are you currently or formerly employed by a Government, Military, or Defense Industrial Base (DIB) organization (or are you in a role that primarily supports one of those entities)?",Do you consider your role to be highly technical?,"On a scale of 1-10, how do you rate your coding or development skills?",What role in information security or cybersecurity do you believe is the new hotness?
4/2/21 9:50,12544318759,United States of America,45 to 54,21-40,,Completed graduate school,Man,,Yes,My certs are so ancient that I cannot say they matter.,Easy. ITIL v2!,"""Technical Writer/LAN Admin""","""Sr. Director, Global Security Strategists.""",Cyber Security R&D Manager,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,6,"Security Data Scientist, although there is much hocus pocus there. ""Cloud Security Admin"" or thereabouts would be another."
4/2/21 9:30,12544277251,United States of America,45 to 54,20-Nov,,Graduated from College/University,Woman,,Yes,CISM,Security+,sys admin,Cyber Threat Intelligence Lead,Cyber Security Senior,Entertainment & Leisure,,I use both terms depending on audience I am talking to,Yes,No,,Cloud security
4/2/21 9:26,12544271135,United States of America,35 to 44,21-40,,Graduated from high school,Man,,No,,,Level 1 Analyst,Principal Threat Hunter,Cyber Security Specialist,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Threat Hunter
4/2/21 9:17,12544252398,United States of America,45 to 54,20-Nov,,Completed graduate school,Woman,,Yes,CISSP,CEH,,Threat Hunter,Cyber Security Specialist,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Automation Engineer
4/2/21 9:04,12544224422,Brazil,25 to 34,5-Jan,,Graduated from high school,Man,,No,,,Pentester (Freelancer),(Unemployed),Cyber Security Technical Lead,I am currently not employed,,I use both terms depending on audience I am talking to,No,Yes,8,
4/2/21 8:55,12544210328,Turkey,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,Non,All,IT Specialist,I dont know... i just have my name and i am against titles.,Cyber Strategist,Other (please specify),IT & Software.,Information Security (infosec),No,Yes,9,Doing our thing properly.
4/2/21 8:52,12544202021,United States of America,35 to 44,20-Nov,,Associates Degree,Man,,No,,,Systems Administrator ,Information Technology Manager ,Cyber threat analyst,Manufacturing,,Information Security (infosec),No,Yes,7,No clue
4/2/21 8:43,12544180451,United States of America,35 to 44,20-Nov,,Completed graduate school,Woman,,Yes,None of them,CISM,Coordinator of Information Security,Senior Threat Analyst,cyber threat analyst,MSSP,,I use both terms depending on audience I am talking to,No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"""Threat Hunting""  ""Cloud Researcher"" or anything AI. Everyone wants to do it but very few actually know how to properly do it or why they are actually doing it."
4/2/21 8:43,12544178905,United States of America,25 to 34,10-Jun,,Graduated from College/University,Man,,Yes,,,,,Cyber Threat Analyst,MSSP,,I use both terms depending on audience I am talking to,Yes,No,7,
4/2/21 8:32,12544161525,United States of America,45 to 54,21-40,,Graduated from College/University,Man,,No,,,CSO,Principal Advisor,Cyber threat analyst ,Other (please specify),Professional Services,I use both terms depending on audience I am talking to,No,Yes,7,
4/2/21 8:32,12544161393,United States of America,35 to 44,20-Nov,,Some College/University,Man,,Yes,"CISSP, EnCE, ENCEP, GCFE, GCFA",ENCEP,Help Desk,VP Cybersecurity Manger,Cyber Threat Chief,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"Threat Intelligence is sexy when you think of the global landscape, but I'm still a believer in forensics. "
4/2/21 8:20,12544136092,United States of America,25 to 34,5-Jan,,Graduated from College/University,Woman,,Yes,SANS GSEC,Security+,Cyber Intelligence Analyst,Lead of Cybersecurity Research,Cyber Threat Hunter ,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"Not necessarily new, but everyone wants to be a penetration tester. "
4/2/21 8:18,12544134151,Australia,25 to 34,10-Jun,,Graduated from College/University,Man,,No,,,,,Cyber Threat Intelligence Analyst,,,Information Security (infosec),No,,7,Cyber AI technologies. Ugh
4/2/21 8:20,12544133875,United States of America,25 to 34,10-Jun,,Some graduate school,Man,,Yes,GCIH,Security+,Systems Engineer,Lead Systems Engineer,Cyber Threat Intelligence Analyst ,Government,,I use both terms depending on audience I am talking to,Yes,Yes,I am an extremely competent coder/developer,IoT Security
4/2/21 8:18,12544131799,United States of America,45 to 54,21-40,,Graduated from College/University,Man,,No,,,Software engineer,Principal data scientist,Cyber Threat Intelligence Lead,Software Sales,,I use both terms depending on audience I am talking to,Yes,Yes,8,Data science
4/2/21 8:14,12544128119,United States of America,25 to 34,10-Jun,,Some graduate school,Man,,Yes,CISSP ,Azure Fundamentals,Tier 1 SOC Analyst,Senior Cyber Triage and Forensics,Cyber Threat Intelligence NCOIC,Finance & Financial Services,,I use both terms depending on audience I am talking to,Yes,Yes,3,Everyone I know is swapping to CTI. Also at the top of my list is content developers/rule writers. 
4/2/21 8:15,12544124734,United States of America,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,Sans401,,Forensic analyst,Principal Manager,Cyber Triage and Forensics,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,6,Wherever mick or Russ go
4/2/21 8:04,12544113324,Germany,35 to 44,10-Jun,,Graduated from College/University,Woman,,Yes,,,computer network operations,cyber threat analyst,Cybercrime investigator,Government,,Cybersecurity (cyber),Yes,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,CTI
4/2/21 8:01,12544096609,United States of America,35 to 44,5-Jan,,Graduated from College/University,Woman,,Yes,I hold CEH and Sec+. I suppose I'm prouder of the CEH.,Sec + by elimination.,Computer System Operator,Computer System Operator,Cybersecurity,Airlines & Aerospace (including Defense),,I use both terms depending on audience I am talking to,Yes,No,2,"Job listings seem to think that cybersecurity is one broad term so you must be a SME on everything, but also highly specialized in five things.  I think AppSec is trying to be new hotness."
4/2/21 7:39,12544059533,El Salvador,35 to 44,20-Nov,,Completed graduate school,Man,,Yes,"Security+, Cisco CCNA Cyber Ops, CEHv9",,Cyber Security Analyst,Cloud Security Engineer,Cybersecurity Analyst - Security Ops,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Pentesting or Bug Bunty
4/2/21 7:37,12544050096,India,35 to 44,20-Nov,,Graduated from College/University,Man,,No,,,,,Cybersecurity and Digital Forensics Engineer,,,Cybersecurity (cyber),No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/2/21 7:34,12544048810,United Kingdom of Great Britain and Northern Ireland,25 to 34,10-Jun,,Graduated from College/University,Man,,Yes,GCIH / GCFE,ITIL,Servicedesk analyst,Senior Cyber security analyst,cybersecurity architect,Finance & Financial Services,,Cybersecurity (cyber),No,Yes,7,Offensive security (unfortunately) 
4/2/21 7:12,12544007458,United States of America,55 to 64,20-Nov,,Completed graduate school,Man,,Yes,"For my purposes, CISSP",N/A,Watch/Warning Unit Chief (FBI),Cyber Programs BizDev,Cybersecurity Architect ,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,No,3,Systems Engineering or Data Science
4/2/21 7:12,12544005807,Belgium,25 to 34,10-Jun,,Some College/University,Man,,Yes,none,none,Cyber Security Consultant,Sales Engineer,Cybersecurity Architect ,Software Sales,,Information Security (infosec),No,No,7,N/A
4/2/21 6:42,12543992535,United States of America,45 to 54,21-40,,Graduated from College/University,Woman,,Yes,CISSP,CCSK,First title - Research Associate  Translated to programmer and network manager for research firm (they did not have typical IT titles).  First main area of security focus was as a  Network Manager - network/firewall security.  Identity Management came next ...,Enterprise Cloud Architect (security specialty but not part of formal title),Cybersecurity Consultant,Software Sales,,Information Security (infosec),Yes,Yes,6,
4/2/21 6:43,12543955495,United Kingdom of Great Britain and Northern Ireland,35 to 44,21-40,,Doctorate,,,Yes,Cissp,Cissp,It manager ,It manager,Cybersecurity Consultant,Insurance,,I use both terms depending on audience I am talking to,No,No,6,
4/2/21 6:41,12543950986,Spain,35 to 44,20-Nov,,Some College/University,Man,,Yes,Gcih ,Ceh,Security analyst,Head of sec ops,Cybersecurity Engineer,Entertainment & Leisure,,Cybersecurity (cyber),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Pentester
4/2/21 6:18,12543916191,United States of America,35 to 44,20-Nov,,Completed graduate school,Woman,,Yes,CISSP,,System Administrator,Security Architect,Cybersecurity engineer,Manufacturing,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,GRC
4/2/21 6:17,12543914794,United States of America,35 to 44,21-40,,Did not attend school or did not graduate high school,Woman,,Yes,,,Help Desk Tech,Branch Chief,Cybersecurity Engineer,Government,,I use both terms depending on audience I am talking to,Yes,Yes,8,
4/2/21 6:08,12543897266,United States of America,35 to 44,20-Nov,,Associates Degree,Man,,Yes,CISSP,CEH,Information systems security engineer (ISSE),Director of security,Cybersecurity Engineer,Other (please specify),Professional Services,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Cloud security engineers/developers
4/2/21 6:06,12543897221,New Zealand,45 to 54,21-40,,Some College/University,Woman,,Yes,CISSP,Checkpoint firewall admin,It support,Senior risk and security specialist ,Cybersecurity Engineer,"Utilities, Energy, and Extraction",,I use both terms depending on audience I am talking to,No,No,I do not believe I have any coding/development skills at all,DevSecOps
4/2/21 5:26,12543836348,United Kingdom of Great Britain and Northern Ireland,35 to 44,20-Nov,,Graduated from high school,Man,,No,,,Help desk,Infrastructure Manager,Cybersecurity specialist,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/2/21 5:16,12543821720,United States of America,25 to 34,5-Jan,,Graduated from College/University,Woman,,No,,,Cyber Analyst,Senior Threat Intelligence Analyst,data scientist,Software Sales,,Cybersecurity (cyber),No,No,6,Threat Hunting
4/2/21 5:00,12543800879,Australia,45 to 54,5-Jan,,Graduated from College/University,Woman,,No,,,Cyber Analyst ,Cyber Analyst,Data Scientist,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),Yes,No,2,Threat Intel
4/2/21 4:55,12543791158,India,18 to 24,<1,,Graduated from high school,Man,,No,,,,,Data Scientist,,,,,,,
4/2/21 4:43,12543776028,Finland,25 to 34,5-Jan,,Completed graduate school,Woman,,No,,,Junior Cyber Security Analyst,Security Analyst,Data security coordinator,MSSP,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Threat hunting
4/2/21 4:35,12543764981,United States of America,45 to 54,10-Jun,,Graduated from high school,Man,,Yes,,,Security engineer,Senior security engineer,Depuity Program Manager & SOC Chief,Government,,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/2/21 4:32,12543761075,India,25 to 34,5-Jan,,Graduated from College/University,Man,,Yes,,,,,Desktop Support,,,Information Security (infosec),No,No,I do not believe I have any coding/development skills at all,
4/2/21 3:44,12543703068,United Kingdom of Great Britain and Northern Ireland,25 to 34,<1,,Graduated from College/University,Man,,No,,,Cyber Security Analyst ,Cyber security analyst ,Detect and Respond Contractor Analyst,Education,,Cybersecurity (cyber),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/2/21 3:22,12543675532,Canada,45 to 54,20-Nov,,Some College/University,Man,,Yes,CRISC,CISSP,Security Analyst,CISO,Detection & Monitoring Operations Analyst,Finance & Financial Services,,Information Security (infosec),No,Yes,8,
4/2/21 3:06,12543653410,Czech Republic,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,"OSCE, GCFA",GNFA,sysadmin,Incident Response Manager,Detection Engineer,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,8,no
4/2/21 3:01,12543648703,United Kingdom of Great Britain and Northern Ireland,35 to 44,10-Jun,,Graduated from College/University,Man,,Yes,,GCIH,Military Officer,Incident manager,Developer,Retail & Consumer Durables,,Information Security (infosec),Yes,No,4,Threat intelligence
4/2/21 2:56,12543641707,United Kingdom of Great Britain and Northern Ireland,35 to 44,21-40,,Graduated from College/University,Man,,Yes,Security+,,Support Agent for an ISP,Directory,Devops engineer,Food & Beverages,,I use both terms depending on audience I am talking to,No,No,8,
4/2/21 2:51,12543636242,United States of America,35 to 44,10-Jun,,Graduated from College/University,Woman,,Yes,None of them. ,MyCSF,Desktop support ,Information security analyst ,Devsecops,Education,,Information Security (infosec),Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Threat intelligence 
4/2/21 2:33,12543616438,United States of America,45 to 54,20-Nov,,Completed graduate school,Man,,Yes,CISSP,CEH,Desktop Support,Security Architect,DFIR,Healthcare & Pharmaceuticals,,Information Security (infosec),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Threat Intelligence
4/2/21 2:20,12543602767,France,35 to 44,20-Nov,,Some graduate school,Man,,No,,,Pentester,Security Officer,DFIR &CTI,Insurance,,Information Security (infosec),No,No,7,"They say encryption and quantum computing. But that only affect TLS or bitcoins.  Let it be realist, ransomwares."
4/2/21 1:34,12543550399,France,35 to 44,5-Jan,,Graduated from College/University,Man,,Yes,SANS,,Developer,Sales Engineer ,dfir analyst ,Software Sales,,Cybersecurity (cyber),No,Yes,9,
4/2/21 1:15,12543533091,Germany,25 to 34,20-Nov,,Graduated from College/University,Man,,No,,,Security Consultant,Senior Expert Cyber Security,DFIR specialist ,"Utilities, Energy, and Extraction",,I use both terms depending on audience I am talking to,No,Yes,I am an extremely competent coder/developer,Red Teaming
4/2/21 1:11,12543528148,Germany,25 to 34,20-Nov,,Graduated from high school,Man,,Yes,CISSP,,Security Engineer,Senior Threat Intel Analyst,Digital Forensic Examiner,Finance & Financial Services,,Information Security (infosec),No,Yes,9,
4/2/21 1:05,12543522230,United States of America,45 to 54,21-40,,Graduated from high school,Man,,Yes,Security+,Certified Ethical Hacker,Information Systems Security Officer,Detect and Respond Contractor Lead Analyst,Digital network analyst.,Government,,I use both terms depending on audience I am talking to,Yes,Yes,3,Threat intelligence analyst
4/2/21 1:01,12543519386,United States of America,25 to 34,10-Jun,,Associates Degree,Man,,Yes,iNet+  I don't value it but it's the only one I have.,iNet+ it was pointless. I passed the test without studying just to see if I could do it.,Counter Intelligence Agent. It was working the in sure counter for Geek Squad. I'm not joking about the title.,Systems Engineer 2,Director,Healthcare & Pharmaceuticals,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Blockchain based security or Zerotrust solutions.
4/2/21 1:02,12543517763,Netherlands,25 to 34,5-Jan,,Graduated from College/University,Man,,No,,,,Splunk SIEM administrator,Director,Government,,I use both terms depending on audience I am talking to,Yes,Yes,7,
4/2/21 0:51,12543512180,Australia,45 to 54,21-40,,Graduated from College/University,Man,,Yes,My security clearance,,IT Security Officer,Splunk Consultant/Engineer,Director,Government,,I use both terms depending on audience I am talking to,Yes,Yes,7,Threat hunting
4/2/21 0:43,12543501645,Germany,18 to 24,5-Jan,,Graduated from high school,Man,,No,,,Sysadmin,Sysadmin,Director,Food & Beverages,,I use both terms depending on audience I am talking to,No,No,6,Cloud Security Engineer
4/2/21 0:36,12543497242,South Africa,35 to 44,20-Nov,,Graduated from high school,Man,,Yes,Mcse  mcdba dcap ,Mcse,Support engineer ,Systems administrator ,Director,Business Support & Logistics,,I use both terms depending on audience I am talking to,No,Yes,7,
4/2/21 0:36,12543495856,Uganda,25 to 34,10-Jun,,Graduated from College/University,Man,,Yes,I have only CISA. ,,Systems Security Officer,Currently running my own newly-founded company,Director,I am currently not employed,,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Threat Intel
4/2/21 0:23,12543486377,United Kingdom of Great Britain and Northern Ireland,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,,,It admin,Sales Engineer ,director ,Software Sales,,Cybersecurity (cyber),No,Yes,6,Security content and Automation roles
4/2/21 0:23,12543486243,United States of America,35 to 44,21-40,,Completed graduate school,Man,,Yes,CISSP,ISSMP,Security Analyst,Senior Manager,Director - Cyber Threat Intelligence,Manufacturing,,Cybersecurity (cyber),No,Yes,6,AI anything
4/2/21 0:13,12543475905,United States of America,35 to 44,20-Nov,,Completed graduate school,Man,,Yes,GCFA,iVe,Radio Operator/Maintainer (RTO),Director,Director IT Operations/Security,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),Yes,Yes,7,"Cloud DevSecOps (esp. AWS, Azure)"
4/2/21 0:08,12543469792,United States of America,35 to 44,10-Jun,,Graduated from College/University,Agender,,Yes,GREM,CISSP,Information Security Engineer,Sr Information Security Engineer,director of consulting services,Education,,Information Security (infosec),No,Yes,8,Red teamer
4/1/21 23:56,12543460479,United States of America,25 to 34,5-Jan,,Graduated from College/University,Man,,Yes,GCFA and GREM,,Associate Consultant - Incident Response ,Senior Consultant - Incident Repsonse ,Director of Cybersecurity Markets,,,I use both terms depending on audience I am talking to,No,Yes,7,AppSec and container sec! 
4/1/21 23:52,12543451915,United States of America,,21-40,,Completed graduate school,Man,,No,,,,,Director of Intelligence,Government,,Cybersecurity (cyber),Yes,No,2,
4/1/21 23:47,12543449751,United States of America,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,,A+,Computer network technician ,Project mission engineer,Director of IT,Education,,I use both terms depending on audience I am talking to,No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Zero trust type initiatives
4/1/21 23:42,12543444747,Germany,25 to 34,5-Jan,,Graduated from College/University,Man,,No,,,Trainee,Security analyst ,Director of IT Infrastructure and Security,Finance & Financial Services,,Information Security (infosec),Yes,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/1/21 23:35,12543441037,South Africa,45 to 54,21-40,,Graduated from College/University,Man,,Yes,"CISSP, from a security management perspective . Little value as a technical cert obviously.",MCSE,"In IT support technician. In Security, security analyst ",Senior security analyst ,Director of Operations,MSSP,,I use both terms depending on audience I am talking to,No,No,6,Data Queen
4/1/21 23:26,12543429392,United States of America,35 to 44,20-Nov,,Some graduate school,Man,,Yes,CISSP,CISSP,Threat intelligence,"Director, Threat Hunting",Director of Sales Engineering,Software Sales,,I use both terms depending on audience I am talking to,Yes,Yes,7,Automation Engineer
4/1/21 23:21,12543425549,United Kingdom of Great Britain and Northern Ireland,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,,,Project Manager,Solution Architect ,Director of Sec Ops,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,6,CISO
4/1/21 23:19,12543425397,United States of America,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,GCIH,Security+,Webmaster,Staff Security Field Engineer,Director of security,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,8,Security Field Engineering. I’m hiring! 
4/1/21 23:22,12543424725,United States of America,45 to 54,21-40,,Completed graduate school,Man,,Yes,Gcih,Gpen,Ip,Cs,Director of security,,,I use both terms depending on audience I am talking to,Yes,Yes,6,
4/1/21 23:15,12543418855,United States of America,45 to 54,21-40,,Completed graduate school,Man,,No,,,Part time programmer,Director of IT,Director of Services,Other (please specify),Consulting,I use both terms depending on audience I am talking to,No,Yes,6,Pentesting
4/1/21 23:12,12543415071,Ukraine,18 to 24,5-Jan,,Some graduate school,Man,,No,,,Pentester,Pentester,Director of Strategy,Other (please specify),Independent,I use both terms depending on audience I am talking to,No,Yes,I am an extremely competent coder/developer,Twitter posturing
4/1/21 23:00,12543401602,Italy,18 to 24,20-Nov,,Graduated from College/University,Man,,Yes,Gicsp,Sscp,,,Director of Threat Intelligence,,,Cybersecurity (cyber),No,Yes,8,
4/1/21 22:45,12543385035,United States of America,35 to 44,20-Nov,,Some College/University,Man,,Yes,,,,,Director of Threat Intelligence ,,,Information Security (infosec),Yes,Yes,8,
4/1/21 22:38,12543375331,United States of America,18 to 24,5-Jan,,Completed graduate school,Woman,,Yes,AWS ,Security+,Software Engineer,Security Engineer,Director of Threat Research ,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,Yes,8,Application Security Engineer
4/1/21 22:30,12543372201,Netherlands,25 to 34,10-Jun,,Graduated from College/University,Woman,,Yes,eCPPT,,Security tester,Security tester,"Director, Cybersecurity Services",Finance & Financial Services,,Information Security (infosec),No,Yes,6,
4/1/21 22:25,12543364941,United States of America,35 to 44,10-Jun,,Graduated from College/University,Woman,,Yes,CCNA SSCP GIAC A+,,Security Engineer,Senior Manager Data Engineering,"Director, Global Security Strategists",Entertainment & Leisure,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Data Engineering
4/1/21 22:17,12543362463,United States of America,45 to 54,21-40,,Completed graduate school,Man,,Yes,CISSP,None,Product Marketing Manager,Consultant ,"Director, IT","Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,No,3,DEFCON Goon
4/1/21 22:25,12543362322,United States of America,35 to 44,20-Nov,,Some College/University,Man,,No,,,Noc ,Devsecops,"Director, Managed Services",,,I use both terms depending on audience I am talking to,No,Yes,6,Intel but the name has changed
4/1/21 22:20,12543359392,United States of America,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,GPEN,ITIL,Information Systems Security Associate,Information Systems Security Manager,"Director, Threat Hunting",Airlines & Aerospace (including Defense),,I use both terms depending on audience I am talking to,Yes,No,4,Bug bounty
4/1/21 22:23,12543358019,United States of America,18 to 24,<1,,Graduated from College/University,Man,,No,,,,,"Director, Threat Intelligence","Construction, Machinery, and Homes",,I use both terms depending on audience I am talking to,No,Yes,6,Penetration Tester
4/1/21 22:20,12543355556,Canada,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,Cism,Iso 31000,Management Trainee,VP cybersecurity ,Directory,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,No,I do not believe I have any coding/development skills at all,Cloud
4/1/21 22:20,12543355413,Canada,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,CISSP,,Sysadmin,Director of security,Distinguished Security Strategist,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,Yes,8,
4/1/21 22:15,12543350728,Pakistan,35 to 44,10-Jun,,Completed graduate school,Man,,Yes,SANS,"SANS, being costly",CISO,None,Endpoint Security Specialist,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,No,I do not believe I have any coding/development skills at all,AI
4/1/21 22:11,12543346464,United States of America,45 to 54,21-40,,Graduated from College/University,Woman,,Yes,,,IT support ,Senior security analyst ,Engineer,Education,,Information Security (infosec),No,Yes,I do not believe I have any coding/development skills at all,Anything Cloudy
4/1/21 22:08,12543343903,United States of America,45 to 54,20-Nov,,Graduated from College/University,Man,,Yes,CISSP,CISSP,Associate Security Administrator,"Tech Lead, Security",Engineer,Healthcare & Pharmaceuticals,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Cloud Security
4/1/21 22:09,12543342941,United States of America,45 to 54,21-40,,Military technical training,Man,,Yes,"GCDA, GNFA, GMON",,Network Engineer ,"SECOPS Manager, Global",Engineer,Airlines & Aerospace (including Defense),,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Threat Hunter
4/1/21 21:51,12543323209,United States of America,25 to 34,20-Nov,,Completed graduate school,Man,,Yes,OSCE ,,Network security intern ,MalwareRE,Engineer,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),Yes,Yes,8,MalwareRE
4/1/21 21:47,12543321083,United States of America,35 to 44,20-Nov,,Some College/University,Man,,Yes,CISSP,Security+,Security analyst,Consultant ,engineering manager,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,8,Orange teamer or Green teamer in the DevSecOps space 
4/1/21 21:42,12543320492,United States of America,45 to 54,21-40,,Graduated from College/University,Man,,Yes,"GMON, CEH, AWS,AZURE ","ITIL, MCT, SIGMA, PMP, SECURITY +, ",Sys Admin,Security SE,engineering manager,Software Sales,,I use both terms depending on audience I am talking to,No,No,6,Ethical Hacking / Pentester / Data  Analytics / ML 
4/1/21 21:48,12543319293,India,25 to 34,5-Jan,,Graduated from College/University,Man,,Yes,I had only one Certification of CEH,CEH,Junior Security Engineer,Junior Security Engineer,Enterprise Cloud Architect,MSSP,,Cybersecurity (cyber),No,Yes,2,Purple Team
4/1/21 21:29,12543303072,United States of America,35 to 44,21-40,,Graduated from College/University,Man,,Yes,Certified Kubernetes Administrator/Security/Developer  (Insert Cloud Provider) Cloud Architect,HCISPP,Technician,Director of IT Infrastructure and Security,Expert Cyber Security,Healthcare & Pharmaceuticals,,I use both terms depending on audience I am talking to,No,Yes,6,Machine Learning for detecting anomalies. There's just too many packets for us humans to keep up with.
4/1/21 21:23,12543291252,United States of America,45 to 54,21-40,,Some College/University,Man,,Yes,GCDA,Sec+,Analyst,Security Engineer,Fed Director of Data Analytics,Manufacturing,,Information Security (infosec),Yes,Yes,6,"Anything ""cloud"" related is the new marketing hotness according to my inbox."
4/1/21 21:24,12543289325,Canada,25 to 34,10-Jun,,Graduated from College/University,Man,,No,,,Help Desk,Endpoint Security Specialist,Field Engineering Manager,Insurance,,I use both terms depending on audience I am talking to,No,No,7,Cloud security
4/1/21 21:15,12543280567,United States of America,35 to 44,20-Nov,,Graduated from College/University,Man,,No,,,Computer Systems Operator (CSO),Director of Threat Intelligence ,Forensic Analyst,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Jupyter notebooks
4/1/21 18:44,12543265619,Latvia,35 to 44,20-Nov,,Doctorate,Man,,Yes,"OSCP (not that I would value it the most out of all the certs I could get, but I don't have many certifications)",CEH,Programmer,Security Architect,Forensic Examiner and Program Coordinator,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,9,DFIR is becoming more and more relevant for more organizations
4/1/21 20:55,12543256513,Canada,35 to 44,5-Jan,,Completed graduate school,Man,,No,,,IT/OT security engineer,Senior IT/OT Security Analyst,Forensic scientist,Food & Beverages,,Cybersecurity (cyber),No,Yes,9,IT/OT Security
4/1/21 20:53,12543255122,United States of America,35 to 44,10-Jun,,Completed graduate school,Man,,Yes,CISSP,A+,Cyber investigator,Consultant,Founder / CEO / Partner,Other (please specify),Infosec,Cybersecurity (cyber),Yes,Yes,7,Consulting
4/1/21 20:50,12543249611,United States of America,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,None,All,Analyst ,Manager of professional services (DFIR),global security architect,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,8,
